# col1 col2    col3     col4    col5      col6       col7       col8   
  1031 180.14  -167.576 77.6685 0.0114818 0.00974266 0.00852974 2.52609
  1032 178.254 -167.148 69.585  0.0111465 0.00911983 0.0080557  1.67966
  1033 177.423 -167.339 73.4863 0.0112935 0.00935624 0.00810207 2.54839
  1034 174.715 -167.088 69.2938 0.0114343 0.00977181 0.00844626 2.52682
  1035 173.299 -167.571 79.4784 0.0126139 0.0115267  0.0101228  1.66561
  1036 172.541 -167.216 72.4465 0.0109972 0.00921301 0.00810539 2.54062
  1037 170.261 -167.291 74.8163 0.0126641 0.0119793  0.0104696  1.65831
  1038 184.563 -167.362 72.1602 0.0142405 0.0133052  0.0123917  1.60227
  1039 183.398 -167.613 77.5855 0.0148778 0.0136866  0.0120253  1.64258
  1040 182.312 -167.448 74.5233 0.0113275 0.00921075 0.00811077 2.52951
  1041 181.604 -167.247 70.7579 0.0111738 0.00897623 0.00796333 2.54461
  1079 176.108 -166.948 66.3536 0.0144687 0.0127254  0.0105306  1.65617
  1136 173.23  -167.419 76.204  0.0109514 0.00911711 0.00795843 2.54352
  1137 178.885 -167.001 66.6358 0.0126944 0.011539   0.00998908 1.65675
  1275 178.742 -167.702 80.6239 0.0137261 0.012461   0.0109279  1.64537
  1276 176.377 -167.563 78.371  0.0115521 0.0099111  0.00848817 2.52786
  1298 181.542 -167.094 67.5275 0.0137419 0.0122687  0.0106209  1.64223
  1302 171.428 -167.032 69.3558 0.0139275 0.0129013  0.0124063  1.63114
